date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-07-23,26.35,26.51,25.7,26.16,50790951,25.5184626890333,25.6734135061204,24.8889749946169,25.3344585937423,50790951,0.0,1.0
2020-07-24,26.26,26.85,26.2,26.47,39357026,25.4313028544218,26.0026839924305,25.3731962980141,25.6346758018486,39357026,0.0,1.0
2020-07-27,25.49,26.02,25.25,26.02,34761049,24.6856020471901,25.1988766287911,24.4531758215594,25.1988766287911,34761049,0.0,1.0
2020-07-28,25.53,25.7,25.33,25.33,30505206,24.7243397514619,24.8889749946169,24.530651230103,24.530651230103,30505206,0.0,1.0
2020-07-29,25.78,25.82,25.0,25.45,31442059,24.9664504031605,25.0051881074322,24.2110651698608,24.6468643429183,31442059,0.0,1.0
2020-07-30,24.65,25.24,24.5,25.19,51019212,23.8721102574827,24.4434913954915,23.7268438664636,24.3950692651517,51019212,0.0,1.0
2020-07-31,24.26,24.66,24.08,24.5,45570805,23.4944176408329,23.8817946835507,23.3200979716099,23.7268438664636,45570805,0.0,1.0
2020-08-03,24.29,24.5,23.9,24.25,27863660,23.5234709190368,23.7268438664636,23.1457783023869,23.484733214765,27863660,0.0,1.0
2020-08-04,24.22,24.29,24.03,24.2,28106895,23.4556799365611,23.5234709190368,23.2716758412702,23.4363110844253,28106895,0.0,1.0
2020-08-05,24.4,24.75,24.34,24.4,33157291,23.6299996057841,23.9689545181622,23.5718930493765,23.6299996057841,33157291,0.0,1.0
2020-08-06,24.24,24.5,24.12,24.2,44670290,23.5718930493765,23.8247268857147,23.4552005095281,23.5329955360937,44670290,0.1,1.0
2020-08-07,25.07,25.22,24.0,24.13,46272401,24.3790164499946,24.5248821248051,23.3385079696797,23.4649248878488,46272401,0.0,1.0
2020-08-10,24.7,25.48,24.2201,25.22,50602640,24.0192144521287,24.7777159611433,23.5525415365183,24.5248821248051,50602640,0.0,1.0
2020-08-11,25.32,26.14,25.2,25.29,55000138,24.6221259080121,25.4195249303095,24.5054333681637,24.59295277305,55000138,0.0,1.0
2020-08-12,25.19,26.14,24.72,25.98,42898644,24.495708989843,25.4195249303095,24.0386632087701,25.2639348771783,42898644,0.0,1.0
2020-08-13,25.02,25.23,24.68,24.95,27387846,24.3303945583911,24.5346065031258,23.9997656954873,24.2623239101462,27387846,0.0,1.0
2020-08-14,25.3,25.49,24.6355,24.79,26743370,24.6026771513707,24.787440339464,23.9564922119602,24.106733857015,26743370,0.0,1.0
2020-08-17,24.47,25.14,24.44,25.03,36512600,23.7955537507526,24.4470870982395,23.7663806157905,24.3401189367118,36512600,0.0,1.0
2020-08-18,24.04,24.45,24.01,24.42,29680691,23.3774054829625,23.7761049941112,23.3482323480004,23.7469318591491,29680691,0.0,1.0
2020-08-19,24.07,24.39,23.84,24.01,33667843,23.4065786179246,23.717758724187,23.1829179165485,23.3482323480004,33667843,0.0,1.0
2020-08-20,23.75,23.94,23.6,23.74,36022144,23.0953985116622,23.2801616997555,22.9495328368517,23.0856741333415,36022144,0.0,1.0
2020-08-21,23.64,23.91,23.52,23.64,27197999,22.9884303501345,23.2509885647934,22.8717378102861,22.9884303501345,27197999,0.0,1.0
2020-08-24,24.49,24.51,23.61,23.8,36906689,23.815002507394,23.8344512640354,22.9592572151724,23.1440204032657,36906689,0.0,1.0
2020-08-25,24.61,24.89,24.3,24.74,35077309,23.9316950472424,24.203977640222,23.6302393193007,24.0581119654115,35077309,0.0,1.0
2020-08-26,24.04,24.58,24.04,24.51,28348206,23.3774054829625,23.9025219122803,23.3774054829625,23.8344512640354,28348206,0.0,1.0
2020-08-27,24.59,24.78,23.97,23.99,36706594,23.912246290601,24.0970094786943,23.3093348347176,23.328783591359,36706594,0.0,1.0
2020-08-28,24.69,24.77,24.3453,24.75,25797331,24.009490073808,24.0872851003736,23.6742907530934,24.0678363437322,25797331,0.0,1.0
2020-08-31,24.15,24.5118,24.09,24.49,27615501,23.4843736444902,23.8362016521331,23.426027374566,23.815002507394,27615501,0.0,1.0
2020-09-01,24.05,24.335,23.74,24.02,30541866,23.3871298612832,23.6642746434231,23.0856741333415,23.3579567263211,30541866,0.0,1.0
